date,start_time,end_time,stage,activity_level
2026-03-01,2026-03-01T01:28:08.0,2026-03-01T01:33:08.0,light,1.0
2026-03-01,2026-03-01T01:33:08.0,2026-03-01T02:24:08.0,deep,0.0
2026-03-01,2026-03-01T02:24:08.0,2026-03-01T03:09:08.0,light,1.0
2026-03-01,2026-03-01T03:09:08.0,2026-03-01T03:12:08.0,awake,3.0
2026-03-01,2026-03-01T03:12:08.0,2026-03-01T03:22:08.0,light,1.0
2026-03-01,2026-03-01T03:22:08.0,2026-03-01T03:57:08.0,deep,0.0
2026-03-01,2026-03-01T03:57:08.0,2026-03-01T04:03:08.0,awake,3.0
2026-03-01,2026-03-01T04:03:08.0,2026-03-01T04:11:08.0,light,1.0
2026-03-01,2026-03-01T04:11:08.0,2026-03-01T04:22:08.0,rem,2.0
2026-03-01,2026-03-01T04:22:08.0,2026-03-01T04:30:08.0,light,1.0
2026-03-01,2026-03-01T04:30:08.0,2026-03-01T04:38:08.0,rem,2.0
2026-03-01,2026-03-01T04:38:08.0,2026-03-01T05:01:08.0,light,1.0
2026-03-01,2026-03-01T05:01:08.0,2026-03-01T05:06:08.0,deep,0.0
2026-03-01,2026-03-01T05:06:08.0,2026-03-01T05:08:08.0,awake,3.0
2026-03-01,2026-03-01T05:08:08.0,2026-03-01T05:19:08.0,light,1.0
2026-03-01,2026-03-01T05:19:08.0,2026-03-01T05:38:08.0,deep,0.0
2026-03-01,2026-03-01T05:38:08.0,2026-03-01T05:45:08.0,light,1.0
2026-03-01,2026-03-01T05:45:08.0,2026-03-01T06:07:08.0,rem,2.0
2026-03-01,2026-03-01T06:07:08.0,2026-03-01T06:08:08.0,awake,3.0
2026-03-01,2026-03-01T06:08:08.0,2026-03-01T07:02:08.0,light,1.0
2026-03-01,2026-03-01T07:02:08.0,2026-03-01T07:45:08.0,rem,2.0
2026-03-01,2026-03-01T07:45:08.0,2026-03-01T08:50:08.0,light,1.0
2026-03-02,2026-03-02T00:37:19.0,2026-03-02T00:46:19.0,light,1.0
2026-03-02,2026-03-02T00:46:19.0,2026-03-02T01:32:19.0,deep,0.0
2026-03-02,2026-03-02T01:32:19.0,2026-03-02T01:58:19.0,light,1.0
2026-03-02,2026-03-02T01:58:19.0,2026-03-02T02:17:19.0,rem,2.0
2026-03-02,2026-03-02T02:17:19.0,2026-03-02T02:22:19.0,light,1.0
2026-03-02,2026-03-02T02:22:19.0,2026-03-02T02:23:19.0,awake,3.0
2026-03-02,2026-03-02T02:23:19.0,2026-03-02T02:36:19.0,light,1.0
2026-03-02,2026-03-02T02:36:19.0,2026-03-02T02:57:19.0,deep,0.0
2026-03-02,2026-03-02T02:57:19.0,2026-03-02T03:28:19.0,light,1.0
2026-03-02,2026-03-02T03:28:19.0,2026-03-02T03:38:19.0,rem,2.0
2026-03-02,2026-03-02T03:38:19.0,2026-03-02T04:32:19.0,light,1.0
2026-03-02,2026-03-02T04:32:19.0,2026-03-02T04:45:19.0,rem,2.0
2026-03-02,2026-03-02T04:45:19.0,2026-03-02T05:26:19.0,light,1.0
2026-03-02,2026-03-02T05:26:19.0,2026-03-02T05:36:19.0,rem,2.0
2026-03-02,2026-03-02T05:36:19.0,2026-03-02T06:20:19.0,light,1.0
2026-03-02,2026-03-02T06:20:19.0,2026-03-02T06:35:19.0,deep,0.0
